city,line,name
天津,1号线,洪泥河东
香港,东铁线(羅湖-紅磡),罗湖
昆明,1号线(环城南路-昆明南火车站),昆明火车站
郑州,1号线,郑州东站
呼和浩特,1号线,坝堰(机场)
苏州,1号线,星塘街
合肥,1号线,明光路
长沙,2号线,文化艺术中心
宁波,1号线,东门口
沈阳,2号线,师范大学
徐州,2号线,九里山
福州,1号线,福州火车南站
上海,1号线,共康路
西安,1号线,开远门
太原,2号线,化章西街
乌鲁木齐,1号线,三屯碑
洛阳,1号线,史家湾
厦门,1号线,诚毅广场
沈阳,2号线,医学院
南昌,1号线,艾溪湖东
佛山,佛山2号线,张槎
南京,1号线,三山街
无锡,1号线,南禅寺
深圳,1号线/罗宝线,桃园
兰州,2号线,均家滩
青岛,1号线,北岭
石家庄,1号线,东庄
南宁,1号线,西乡塘客运站
广州,佛山2号线,湾华
大连,2号线,体育中心
成都,1号线(五根松-韦家碾),火车北站
南宁,1号线,鹏飞路
徐州,2号线,奔腾大道
武汉,1号线,竹叶海
长春,2号线,和平大街
温州,S2线,柳市东
北京,1号线八通线,天安门东
常州,1号线,同济桥
贵阳,1号线,国际生态会议中心
重庆,1号线,石井坡
济南,2号线,北园
哈尔滨,2号线,江北大学城
无锡,1号线,谈渡桥
苏州,1号线,钟南街
长沙,2号线,梅溪湖东
合肥,1号线,长淮
哈尔滨,2号线,哈尔滨北站
香港,东涌线,东涌
郑州,1号线,博学路
呼和浩特,2号线,塔利东路
大连,2号线,卫生中心
天津,1号线,高庄子
太原,2号线,西桥
济南,2号线,历山路
杭州,1号线,下沙西
佛山,佛山2号线,石湾
南昌,1号线,太子殿
昆明,1号线(环城南路-昆明南火车站),福德
南京,1号线,张府园
沈阳,2号线,三台子
上海,1号线,通河新村
兰州,2号线,张苏滩
济南,2号线,七里堡
青岛,1号线,小村庄
石家庄,1号线,会展中心
深圳,1号线/罗宝线,大新
西安,1号线,劳动路
宁波,1号线,鼓楼
广州,佛山2号线,石梁
厦门,1号线,集美软件园
南昌,1号线,奥体中心
洛阳,1号线,杨湾
福州,1号线,安平
长沙,2号线,望城坡(汽车西站)
佛山,佛山2号线,沙岗
南宁,1号线,南职院
佛山,佛山2号线,魁奇路
大连,2号线,后革
大连,2号线,革镇堡
温州,S2线,灵昆
常州,1号线,清凉寺
重庆,1号线,双碑
武汉,1号线,额头湾
成都,1号线(五根松-韦家碾),升仙湖
贵阳,1号线,观山湖公园
徐州,2号线,九龙湖
长春,2号线,万福街
北京,1号线八通线,王府井
哈尔滨,2号线,大耿家
呼和浩特,2号线,新店
苏州,2号线,骑河
合肥,1号线,合肥火车站
香港,东涌线,欣澳
郑州,1号线,市体育中心
无锡,1号线,太湖广场
大连,2号线,中革
天津,1号线,国家会展中心
杭州,1号线,金沙湖
香港,东涌线,青衣
杭州,1号线,高沙路
北京,1号线八通线,东单
福州,1号线,梁厝
无锡,1号线,清名桥
贵阳,1号线,林城西路
长春,2号线,景阳广场
上海,1号线,呼兰路
徐州,2号线,庆云桥
深圳,1号线/罗宝线,鲤鱼门
青岛,1号线,海泊桥(海慈医疗)
厦门,1号线,集美大道
广州,佛山2号线,魁奇路
南昌,1号线,瑶湖西
杭州,1号线,文泽路
济南,2号线,祝甸
沈阳,2号线,陵西
